Episode,Loss,Q-value,Epsilon
1,0,0.04232808202505112,0.9997502812161486
1,0,0.08356218785047531,0.9995006248541901
1,0,0.27533969283103943,0.999251030898521
1,0,0.09217334538698196,0.9990014993335417
1,0,0.07680770009756088,0.9987520301436563
1,0,0.29682275652885437,0.9985026233132732
1,0,0.25309130549430847,0.9982532788268044
1,0,-0.030079327523708344,0.9980039966686658
1,0,0.41174525022506714,0.9977547768232773
2,0,0.04605493322014809,0.9975056192750626
2,0,-0.15641367435455322,0.9972565240084496
2,0,-0.19877004623413086,0.9970074910078697
2,0,-0.04905420169234276,0.9967585202577581
2,0,-0.008411165326833725,0.9965096117425545
3,0,0.0008456520736217499,0.9962607654467018
3,0,0.10574587434530258,0.9960119813546475
3,0,0.27156320214271545,0.9957632594508423
3,0,-0.16411691904067993,0.995514599719741
3,0,0.11496471613645554,0.9952660021458026
3,0,-0.6127942204475403,0.9950174667134897
3,0,-0.20383059978485107,0.9947689934072687
3,0,0.14727875590324402,0.9945205822116101
3,0,-0.21076390147209167,0.9942722331109882
3,0,0.126723974943161,0.9940239460898813
3,0,0.12587007880210876,0.9937757211327714
3,0,0.12178312987089157,0.9935275582241443
3,0,-0.4800979197025299,0.9932794573484899
3,0,-0.4339902997016907,0.9930314184903019
3,0,0.11536654829978943,0.992783441634078
3,0,0.11835896223783493,0.9925355267643193
3,0,-0.28433263301849365,0.9922876738655315
3,0,0.12168445438146591,0.9920398829222236
3,0,0.03663254529237747,0.9917921539189086
3,0,0.0786752924323082,0.9915444868401038
3,0,-0.16060176491737366,0.9912968816703296
3,0,0.11030806601047516,0.9910493383941108
3,0,0.008697837591171265,0.990801856995976
3,0,-0.283042848110199,0.9905544374604576
3,0,0.07426457107067108,0.9903070797720918
3,0,-0.06896690279245377,0.9900597839154189
3,0,-0.1292673647403717,0.9898125498749828
3,0,-0.19130143523216248,0.9895653776353314
3,0,-0.19722869992256165,0.9893182671810163
3,0,-0.011479135602712631,0.9890712184965934
4,0,-0.11298318207263947,0.9888242315666219
4,0,0.15600544214248657,0.9885773063756651
4,0,0.33657318353652954,0.9883304429082904
4,0,0.07778681814670563,0.9880836411490685
4,0,-0.3602961003780365,0.9878369010825747
4,0,0.07525908201932907,0.9875902226933876
4,0,-0.01373990997672081,0.9873436059660896
4,0,0.08506130427122116,0.9870970508852673
4,0,-0.11426575481891632,0.9868505574355111
4,0,-0.5288426280021667,0.986604125601415
4,0,-0.4935382008552551,0.986357755367577
4,0,-0.45796671509742737,0.9861114467185991
4,0,-0.4249751567840576,0.9858651996390868
4,0,0.10583167523145676,0.9856190141136499
4,0,-0.35933196544647217,0.9853728901269018
4,0,0.11697307974100113,0.9851268276634596
4,0,-0.09713935852050781,0.9848808267079445
4,0,-0.2925269603729248,0.9846348872449812
4,0,-0.2774432897567749,0.9843890092591989
4,0,-0.2877962291240692,0.9841431927352299
4,0,-0.01187402755022049,0.9838974376577108
4,0,-0.01402343064546585,0.9836517440112816
4,0,-0.020805738866329193,0.9834061117805871
4,0,-0.23147040605545044,0.9831605409502747
