Episode,Total Reward,Average Reward,Average Loss,Steps
1,0.7402383351448716,0.1233730558574786,0.0,6
2,8.06877847632483,0.448265470906935,0.0,18
3,3.6924534341083017,0.28403487954679246,0.0,13
4,9.197687521771737,0.3679075008708695,0.0,25
5,1.6763750965867628,0.23948215665525183,0.0,7
6,21.920105612603592,0.5924352868271241,0.0,37
7,2.2640432731499343,0.251560363683326,0.0,9
8,15.2578609478035,0.5261331361311552,0.0,29
9,11.930707265206847,0.3139659806633381,0.0,38
10,0.8149744901039893,0.10187181126299866,0.0,8
11,6.181495057121122,0.41209967047474144,0.0,15
12,2.7087520592467276,0.27087520592467274,0.0,10
13,2.6228686643579167,0.3278585830447396,0.0,8
14,13.602025187214316,0.4857866138290827,0.0,28
15,3.040523167732328,0.3040523167732328,0.17999105155467987,10
16,0.588597516989801,0.1177195033979602,0.20220683813095092,5
17,1.4683476365860129,0.1835434545732516,0.13042279798537493,8
18,6.306533086336243,0.3709725344903672,0.11340592933051727,17
19,4.633591342704231,0.4212355766094756,0.10414014892144637,11
20,2.7131775260651105,0.30146416956279004,0.06739024610983001,9
21,17.749744564485766,0.6339194487316345,0.07403907086700201,28
22,-0.4684499817472536,-0.06692142596389337,0.07274354568549565,7
23,9.85734115289271,0.4693971977567957,0.07840926217890921,21
24,3.7394627236786278,0.3399511566980571,0.06586910106919029,11
25,4.701662827879719,0.361666371375363,0.06860934856992501,13
26,8.730224590559667,0.5456390369099792,0.12150679947808385,16
27,3.686273721757174,0.24575158145047826,0.13190406064192453,15
28,4.931568935474289,0.4483244486794808,0.12236070971597325,11
29,5.978872079777904,0.3985914719851936,0.11251428723335266,15
30,4.380073281279656,0.2920048854186437,0.10599476794401805,15
31,0.9157341963411989,0.1526223660568665,0.10574608792861302,6
32,2.2787391599994846,0.32553416571421206,0.11025511154106685,7
33,3.737862389099348,0.26699017064995345,0.11321240769965309,14
34,0.41570009354463844,0.06928334892410641,0.11119351163506508,6
35,16.399764510473766,0.46856470029925046,0.1016547360590526,35
36,0.3385168355031971,0.06770336710063943,0.08590111285448074,5
37,6.98776002417651,0.36777684337771105,0.08838312504322905,19
38,14.42069361177499,0.5768277444709996,0.09359205439686775,25
39,4.841079125715337,0.2847693603361963,0.08522818631985608,17
40,0.8436616884777712,0.16873233769555424,0.12925480008125306,5
41,4.438205318712649,0.3698504432260541,0.13674856225649515,12
42,19.224963974748164,0.5654401169043578,0.1227473858743906,34
43,0.3668503315888123,0.05240719022697319,0.1236169742686408,7
44,4.6300726196608135,0.356159432281601,0.10715203932844676,13
45,15.866165037707106,0.5471091392312795,0.11773006823556177,29
46,4.664853636658461,0.33320383118989005,0.10231919799532209,14
47,-0.20541081938565675,-0.05135270484641419,0.08772225305438042,4
48,4.941776647450401,0.44925242249549097,0.10117941011082042,11
49,0.6835116945620199,0.09764452779457426,0.0915074348449707,7
50,8.273151418942831,0.3760523372246741,0.09049321033737877,22
51,9.163068713098625,0.3983942918738532,0.0882862942374271,23
52,2.4998961102294763,0.2777662344699418,0.070231132209301,9
53,0.2786835835460044,0.04644726392433407,0.07984134679039319,6
54,-0.36787498478937763,-0.061312497464896275,0.08751438930630684,6
55,13.32928644072974,0.4299769819590239,0.12069712050499455,31
56,3.359946377357324,0.22399642515715493,0.09815319627523422,15
57,3.630751009829167,0.2792885392176282,0.09411452194819084,13
58,7.370511561739292,0.46065697260870575,0.10329183656722307,16
59,0.023395764508405303,0.002924470563550663,0.09919282188639045,8
60,17.753140743791437,0.4798146146970659,0.09695056654714249,37
61,7.525235336296877,0.4426609021351104,0.08428275782395811,17
62,2.85808411967502,0.2598258290613655,0.09779023954814131,11
63,1.7332669760770067,0.24760956801100095,0.0841686310512679,7
64,4.114092230205173,0.34284101918376436,0.07959339333077271,12
65,2.481147537499331,0.24811475374993308,0.08886629790067672,10
66,1.360197030817592,0.170024628852199,0.08711200347170234,8
67,8.513261205932483,0.5007800709372049,0.07568939709488083,17
68,0.050903352102313226,0.012725838025578307,0.127824479714036,4
