Episode,Total Reward,Average Reward,Loss,Epsilon,Steps
1,44.01625295202109,3.1440180680015066,0.0,0.8881829126234326,14
2,-45.54106526730043,-11.385266316825108,0.0,0.8848368775045556,4
3,-6.714305044137603,-0.9591864348768004,0.0,0.8790134252240828,7
4,1.8851437343662454,0.17137670312420414,0.0,0.8699442494606546,11
5,43.387188576756685,2.892479238450446,0.0,0.8577368699525629,15
6,14.866254495896726,1.6518060550996363,0.0,0.8504998535466114,9
7,-34.1252261147333,-5.687537685788883,0.0,0.845711234647876,6
8,22.75871959974296,1.7506707384417661,0.0,0.8354339357783238,13
9,-48.81652807658633,-8.136088012764388,0.0,0.8307354417412388,6
10,-42.64554636636299,-10.661386591590748,0.0,0.8276187375382842,4
11,44.32482428193046,2.607342604819439,0.0,0.8145109508645355,17
12,41.060092617940455,3.4216743848283713,0.0,0.8053916447224247,12
13,-19.263969785835233,-2.140441087315026,0.0,0.7986236217075834,9
14,-24.045773061496515,-4.809154612299303,0.0,0.7948898458174672,5
15,-28.810612935681675,-4.801768822613613,0.0,0.7904338879839287,6
16,-42.613598551959775,-8.522719710391955,0.0,0.7867409585611657,5
17,-10.015164250647345,-1.112796027849705,0.0,0.780140038629955,9
18,27.39532859541538,1.2452422088825172,0.0,0.7642523630096667,22
19,55.69047183771718,3.712698122514479,0.0,0.7536185306905236,15
20,5.035113003043527,0.5035113003043528,0.0,0.7466174093329868,10
21,-0.4421806417148275,-0.05527258021435344,0.0,0.7410667024894354,8
22,186.17098507791337,4.432642501855081,0.0,0.7126429773769953,42
23,219.16143105855485,3.778645363078532,4.886960214581983,0.6753030107711654,58
24,2.1896905551188794,0.3128129364455542,5.533867563520159,0.6709411739355112,7
25,15.85320684548266,1.761467427275851,4.438695377773708,0.665377776212728,9
26,-15.390745015670745,-2.5651241692784574,5.385156631469727,0.6616965642350141,6
27,34.462140709443545,3.4462140709443547,5.156868314743042,0.655610081725813,10
28,14.783499527506109,0.9855666351670739,4.366354846954346,0.6465937222520849,15
29,5.953989467078394,0.7442486833847992,4.40961080789566,0.6418400126655054,8
30,71.46525232019536,4.203838371776198,4.4892683029174805,0.6318637707663365,17
31,5.366796209616112,0.670849526202014,4.4703241884708405,0.6272274306876413,8
32,35.23334596607204,2.5166675690051457,4.906770740236555,0.6192025518822444,14
33,-27.037063965282176,-5.4074127930564355,5.738526630401611,0.6163636423111535,5
34,-43.26759985397803,-10.816899963494507,5.813342332839966,0.6141027126158716,4
35,1.2572212482791372,0.17960303546844816,4.999014241354806,0.6101677819525027,7
36,23.338709922848963,1.3728652895793507,4.646062051548677,0.600725417162548,17
37,-4.439779289953499,-0.5549724112441874,4.158948510885239,0.5963371901372015,8
38,-45.54106526730043,-11.385266316825108,5.83630895614624,0.5941562062524001,4
39,-23.903706376207676,-3.9839510627012795,5.160108645757039,0.5909010442663241,6
40,10.397683676438866,0.6116284515552275,4.233000853482415,0.5817834456828641,17
41,26.54863761165197,2.212386467637664,5.1002188722292585,0.575440180047487,12
42,6.144140238951522,0.4096093492634348,4.246142570177714,0.5676173949119624,15
43,-9.922173440008251,-1.4174533485726073,5.1641331400190085,0.5640067252350038,7
44,-23.634746317689,-4.7269492635378,5.3496397018432615,0.561443105997793,5
45,-24.952572878230193,-2.4952572878230193,4.819924592971802,0.5563541620652731,10
46,55.866344281907146,3.286255545994538,4.072065802181468,0.5478188966230747,17
47,240.87010639920481,5.474320599981928,4.4558863694017585,0.5263897632283169,44
48,112.79098220498355,4.903955748042763,4.012833802596383,0.5155578432566684,23
49,147.1264298422847,4.4583766618874145,4.138516975171639,0.5004451650699333,33
50,223.2061861970696,6.032599626947827,3.507121943138741,0.48408325586125966,37
51,58.78145008725487,2.79911667082166,3.7010893594650995,0.47506255634140254,21
52,195.51410347511342,4.887852586877836,3.8945979565382003,0.4583956151119089,40
53,175.8060397541634,5.671162572714949,3.7794856467554645,0.445929573002354,31
54,-5.3528019627628325,-0.6691002453453541,3.94483882188797,0.442774772446145,8
55,60.16466182385905,2.6158548619069153,3.373875970425813,0.43384404968420337,23
56,-7.586615093140466,-0.842957232571163,3.4877017868889704,0.4304049523887505,9
57,181.14182846565117,5.4891463171409445,4.130633202466098,0.418056459694746,33
58,-14.695664509757322,-1.6328516121952579,3.6367800765567355,0.41475881322568764,9
59,69.04675516928876,3.452337758464438,3.7017852544784544,0.4075361048007656,20
60,184.8223179136404,5.775697434801263,3.6688350662589073,0.3962760708304992,32
61,192.0810657732682,5.191380156034276,4.116390640671189,0.3836979857017906,37
62,200.08133114689792,6.063070640815089,3.563262534864021,0.3728656684236719,33
63,53.77375851521876,2.3379895006616853,3.445909505305083,0.3655245050488369,23
64,182.16672777275494,5.520203871901665,3.9468633153221826,0.35528212512999385,33
65,-19.2212505354179,-2.4026563169272377,4.003571331501007,0.352849611158235,8
66,198.35959718753517,5.667417062501005,4.241346093586513,0.34243322484588967,35
67,180.72025897498537,6.024008632499513,3.666477318604787,0.33379051691288025,30
68,299.20314605199724,4.043285757459422,4.1508992378776135,0.31354822003757893,74
69,245.8622511794805,7.024635747985157,4.111702115195138,0.30448358871332715,35
70,-46.356799805304036,-9.271359961060806,4.857821083068847,0.3032143465194986,5
71,78.20628549555437,2.443946421736074,4.154929008334875,0.2952397612810171,32
72,188.76543535666028,5.720164707777585,3.8368021647135415,0.28727892538379335,33
73,162.97176532939716,5.432392177646572,3.916176950931549,0.280266273343892,30
74,220.96131883004506,5.26098378166774,3.7331480923153104,0.27079537099450146,42
