Episode,Total Reward,Average Reward,Loss,Epsilon,Steps
1,-17.65300606772881,-2.9421676779548016,0.0,0.894915269445845,6
2,-23.569893245830038,-4.713978649166007,0.0,0.8907012369590634,5
3,-8.308706197720568,-0.7553369270655061,0.0,0.8815041997935286,11
4,17.20703674863971,1.229074053474265,0.0,0.8699442494606546,14
5,46.831445022565006,3.122096334837667,0.0,0.8577368699525629,15
6,25.623982067333884,1.8302844333809918,0.0,0.846507343870793,14
7,-22.8044237793618,-2.5338248643735337,0.0,0.8393709397650941,9
8,22.71730484871533,1.622664632051095,0.0,0.8283967452148268,14
9,-43.26759985397803,-10.816899963494507,0.0,0.8252893771133268,4
10,-74.35955548194106,-6.196629623495088,0.0,0.8160415028080241,12
11,41.353094853079966,2.953792489505712,0.0,0.8053916447224247,14
12,-6.335470153603623,-0.6335470153603623,0.0,0.7978753722729472,10
13,39.484564337230466,3.290380361435872,0.0,0.788954500088985,12
14,65.77911647531126,4.698508319665089,0.0,0.7786812178597389,14
15,58.754729182745606,3.6721705739216004,0.0,0.7671150941069261,16
16,77.66208746821722,4.314560414900956,0.0,0.7543225011477785,18
17,-10.197089693014412,-1.0197089693014412,0.0,0.7473143751671564,10
18,-35.36052937860458,-7.072105875720917,0.0,0.7438365052117685,5
19,100.80935213366055,3.87728277437156,0.0,0.7260292534793299,26
20,-78.08974213072065,-9.761217766340081,0.0,0.7206425948149683,8
21,-27.565452809866827,-3.9379218299809753,0.0,0.7159644891234331,7
22,63.681469662586906,3.5378594256992724,2.614876045121087,0.7040843701514395,18
23,-12.826938908902164,-2.137823151483694,5.368837674458821,0.7001716139374344,6
24,-25.909465169952448,-4.318244194992075,6.2719723383585615,0.6962822639717497,6
25,-5.223716992220396,-0.5804129991355995,6.144365363650852,0.6904918196807597,9
26,-19.08546957069596,-3.1809115951159934,6.353418509165446,0.6866603745922689,6
27,-42.64554636636299,-10.661386591590748,6.194841504096985,0.6841188195926383,4
28,13.013014117333299,1.30130141173333,6.065533971786499,0.6778092319149103,10
29,-43.26759985397803,-10.816899963494507,5.764071941375732,0.6753030107711654,4
30,38.205042322352114,3.183753526862676,5.91632616519928,0.6678442169103875,12
31,27.263849598186255,2.4785317816532957,6.247312329032204,0.6610851734171372,11
32,17.83861461209895,1.2741867580070678,5.026841861861093,0.6525895888420842,14
33,222.2148025806502,6.172633405018061,5.05695077445772,0.6312821978305024,36
34,64.88951270970342,4.6349651935502445,4.531350680759975,0.6232009478043776,14
35,-1.0795752649882644,-0.09814320590802404,5.270661744204435,0.6169302892297033,11
36,-19.73980509347123,-2.1933116770523586,4.939286179012722,0.6118508085760257,9
37,-19.094973012822525,-3.1824955021370873,5.793126742045085,0.6084897968427982,6
38,6.53910967122237,0.46707926223016927,5.535380601882935,0.600725417162548,14
39,-11.16421748360866,-1.3955271854510825,5.111659407615662,0.5963371901372015,8
40,223.8115632877126,5.7387580330182715,5.358680459169241,0.575440180047487,39
41,-24.43233477156246,-2.71470386350694,4.836592038472493,0.5707324350567538,9
42,34.65251133917231,2.6655777953209467,6.231087831350473,0.5640067252350038,13
43,69.66504553054693,3.317383120502235,5.589976242610386,0.5533251332663591,21
44,43.23617445478564,3.325859573445049,5.236723954860981,0.546824253804195,13
45,174.63207924517852,5.633292878876726,5.850870293955649,0.5316589781748909,31
46,193.83936592502874,5.873920179546325,6.0596356464154795,0.516023633956459,33
47,180.96690792320936,4.112884270982031,5.745503132993525,0.49596316079060393,44
48,189.9777543302898,4.317676234779314,5.423902327364141,0.4767662116057571,44
49,185.7874448973045,6.635265889189447,5.795668857438224,0.46498249950927745,28
50,137.56585981427202,4.1686624186143035,5.4682651794318,0.45151156982986246,33
51,36.4896312979764,3.0408026081647,6.005484978357951,0.44672222453567484,12
52,204.2177149199677,6.587668223224765,5.917070511848696,0.4346125059837192,31
53,-13.505456373022156,-1.9293509104317366,6.226215090070452,0.4319296194996383,7
54,181.563430989759,5.673857218429969,5.902578420937061,0.4199013503764032,32
55,46.89725328687476,3.34980380620534,5.839516639709473,0.41475881322568764,14
56,21.547267576355168,1.65748212125809,6.062183636885423,0.4100476376439045,13
57,196.3317993453693,6.3332838498506225,6.3088481195511354,0.3990573898394937,31
58,65.4369962135551,3.444052432292374,6.3639560122238965,0.39248790714885284,19
59,133.95863783058536,4.059352661532889,6.250103759043144,0.3813702563594633,33
60,166.12407727382237,4.886002272759481,6.470276860629811,0.3702930472814827,34
61,160.92895538341662,4.597970153811904,6.151589638846261,0.35927670124464056,35
62,191.9469040794569,5.484197259413055,7.35886298588344,0.3486392578440981,35
63,210.96514618959787,6.805327296438641,7.386908884971373,0.3395234656414062,31
64,231.4109608032897,6.80620472950852,7.15597933881423,0.3298451318128794,34
65,194.9195850451806,6.287728549844536,7.241343413629839,0.3213030195368273,31
66,186.2855406476994,6.653055023132121,7.686913056032998,0.31381190007566223,28
67,180.43269529456435,5.820409525631108,7.51486478313323,0.30575919301012794,31
68,317.51530593163454,4.070709050405571,7.0740672670877895,0.2865681552958514,78
69,216.0863985182654,6.752699953695794,8.148815423250198,0.2791178155143659,32
70,364.93424571719476,3.2583414796178105,7.649180735860552,0.254841467251645,112
71,162.27061540133565,4.270279352666727,7.723545325429816,0.2472035313542995,38
72,218.79032194588314,5.610008255022644,7.341175336104173,0.23966063612616534,39
73,302.2864682579825,4.140910524081952,8.164763293854177,0.22630868476610316,73
74,851.2161386042706,3.364490666420042,8.95078678281882,0.18689803100746522,253
75,0.7554745179210798,0.009443431474013497,9.605431121587753,0.1763728102111357,80
